UDI,Product ID,timestamp,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M14860,2023-01-01 08:00:00,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
2,L47181,2023-01-02 08:00:00,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
3,L47182,2023-01-03 08:00:00,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0
4,L47183,2023-01-04 08:00:00,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
5,L47184,2023-01-05 08:00:00,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0
6,M14865,2023-01-06 08:00:00,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
7,L47186,2023-01-07 08:00:00,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
8,L47187,2023-01-08 08:00:00,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
9,M14868,2023-01-09 08:00:00,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0
10,M14869,2023-01-10 08:00:00,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0
11,H29424,2023-01-11 08:00:00,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
12,H29425,2023-01-12 08:00:00,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0
13,M14872,2023-01-13 08:00:00,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
14,M14873,2023-01-14 08:00:00,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0
15,L47194,2023-01-15 08:00:00,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0
16,L47195,2023-01-16 08:00:00,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
17,M14876,2023-01-17 08:00:00,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0
18,M14877,2023-01-18 08:00:00,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0
19,H29432,2023-01-19 08:00:00,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
20,M14879,2023-01-20 08:00:00,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0
21,H29434,2023-01-21 08:00:00,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
22,L47201,2023-01-22 08:00:00,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
23,M14882,2023-01-23 08:00:00,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0
24,L47203,2023-01-24 08:00:00,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0
25,M14884,2023-01-25 08:00:00,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0
26,L47205,2023-01-26 08:00:00,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0
27,L47206,2023-01-27 08:00:00,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0
28,H29441,2023-01-28 08:00:00,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
29,L47208,2023-01-29 08:00:00,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0
30,L47209,2023-01-30 08:00:00,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0
31,M14890,2023-01-31 08:00:00,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0
32,L47211,2023-02-01 08:00:00,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0
33,L47212,2023-02-02 08:00:00,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0
34,L47213,2023-02-03 08:00:00,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0
35,M14894,2023-02-04 08:00:00,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0
36,M14895,2023-02-05 08:00:00,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
37,M14896,2023-02-06 08:00:00,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0
38,L47217,2023-02-07 08:00:00,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0
39,H29452,2023-02-08 08:00:00,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0
40,L47219,2023-02-09 08:00:00,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
41,L47220,2023-02-10 08:00:00,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0
42,L47221,2023-02-11 08:00:00,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0
43,M14902,2023-02-12 08:00:00,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
44,H29457,2023-02-13 08:00:00,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0
45,M14904,2023-02-14 08:00:00,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
46,L47225,2023-02-15 08:00:00,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0
47,M14906,2023-02-16 08:00:00,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0
48,L47227,2023-02-17 08:00:00,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0
49,H29462,2023-02-18 08:00:00,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
50,M14909,2023-02-19 08:00:00,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
51,L47230,2023-02-20 08:00:00,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0
52,L47231,2023-02-21 08:00:00,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
53,H29466,2023-02-22 08:00:00,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0
54,L47233,2023-02-23 08:00:00,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0
55,L47234,2023-02-24 08:00:00,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0
56,L47235,2023-02-25 08:00:00,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0
57,L47236,2023-02-26 08:00:00,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
58,L47237,2023-02-27 08:00:00,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
59,M14918,2023-02-28 08:00:00,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0
60,L47239,2023-03-01 08:00:00,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
61,L47240,2023-03-02 08:00:00,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
62,M14921,2023-03-03 08:00:00,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0
63,L47242,2023-03-04 08:00:00,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0
64,M14923,2023-03-05 08:00:00,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0
65,L47244,2023-03-06 08:00:00,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0
66,L47245,2023-03-07 08:00:00,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0
67,M14926,2023-03-08 08:00:00,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
68,H29481,2023-03-09 08:00:00,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
69,L47248,2023-03-10 08:00:00,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
70,L47249,2023-03-11 08:00:00,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0
71,M14930,2023-03-12 08:00:00,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0
72,L47251,2023-03-13 08:00:00,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
73,L47252,2023-03-14 08:00:00,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
74,L47253,2023-03-15 08:00:00,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0
75,L47254,2023-03-16 08:00:00,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0
76,L47255,2023-03-17 08:00:00,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
77,L47256,2023-03-18 08:00:00,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
78,L47257,2023-03-19 08:00:00,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
79,L47258,2023-03-20 08:00:00,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
80,L47259,2023-03-21 08:00:00,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
81,H29494,2023-03-22 08:00:00,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
82,L47261,2023-03-23 08:00:00,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
